carat_weight,total_sales_price,dbscan_labels,dbscan_opt_labels
15.0,13500,-1,-1
1.56,19341,-1,-1
2.0,19344,-1,-1
2.02,19344,-1,-1
1.4,19488,-1,-1
3.0,22698,-1,-1
1.94,22698,-1,-1
2.05,22703,-1,-1
1.52,22709,-1,-1
1.52,22709,-1,-1
1.62,22710,-1,-1
2.01,22713,-1,-1
2.1,22870,-1,-1
2.62,22873,-1,-1
3.27,23074,-1,-1
2.02,23078,-1,-1
2.02,23078,-1,-1
2.01,23084,-1,-1
1.51,23086,-1,-1
2.5,23086,-1,-1
3.5,23100,-1,-1
2.5,23100,-1,-1
1.4,23142,-1,-1
1.63,23145,-1,-1
1.71,23279,-1,-1
2.07,23282,-1,-1
2.62,23487,-1,-1
2.02,23489,-1,-1
1.74,23490,-1,-1
1.74,23490,-1,-1
2.51,23494,-1,-1
1.92,23495,-1,-1
2.5,23496,-1,-1
1.5,23896,-1,-1
2.0,23898,-1,-1
1.59,23899,-1,-1
2.0,21274,-1,-1
1.9,21444,-1,-1
2.02,21837,-1,-1
2.0,21840,-1,-1
1.79,21910,-1,-1
2.14,21911,-1,-1
1.78,22181,-1,-1
1.52,22181,-1,-1
2.51,22182,-1,-1
3.01,22186,-1,-1
2.01,22188,-1,-1
1.34,22191,-1,-1
1.7,22196,-1,-1
1.6,22200,-1,-1
2.57,22205,-1,-1
1.61,22208,-1,-1
1.79,22209,-1,-1
2.52,22212,-1,-1
1.46,22338,-1,-1
1.9,22344,-1,-1
2.08,20218,-1,-1
1.44,20218,-1,-1
1.56,27370,-1,-1
2.2,27372,-1,-1
2.01,27382,-1,-1
2.71,27383,-1,-1
1.79,27388,-1,-1
2.0,27404,-1,-1
2.19,27406,-1,-1
2.0,27411,-1,-1
2.06,27411,-1,-1
1.8,27413,-1,-1
2.13,27414,-1,-1
2.2,27418,-1,-1
1.51,27543,-1,-1
2.52,27544,-1,-1
2.51,27545,-1,-1
2.01,27549,-1,-1
2.51,27561,-1,-1
2.0,27561,-1,-1
2.52,27562,-1,-1
3.19,27562,-1,-1
2.03,27564,-1,-1
3.0,27573,-1,-1
1.87,27575,-1,-1
3.01,27575,-1,-1
4.0,27584,-1,-1
2.63,27585,-1,-1
1.58,27587,-1,-1
3.52,27592,-1,-1
2.01,27594,-1,-1
3.0,27594,-1,-1
3.51,27598,-1,-1
2.03,27626,-1,-1
2.01,27630,-1,-1
2.01,27630,-1,-1
2.02,27634,-1,-1
2.61,27647,-1,-1
2.5,27648,-1,-1
2.51,27651,-1,-1
1.9,27761,-1,-1
2.02,27767,-1,-1
2.01,27788,-1,-1
2.01,27788,-1,-1
1.5,27792,-1,-1
3.0,27908,-1,-1
3.0,27908,-1,-1
1.61,27915,-1,-1
1.61,27915,-1,-1
2.0,27915,-1,-1
2.05,27922,-1,-1
2.51,27922,-1,-1
1.8,27923,-1,-1
2.02,27926,-1,-1
2.03,27932,-1,-1
1.66,27939,-1,-1
1.7,27939,-1,-1
1.4,27942,-1,-1
2.01,27944,-1,-1
1.74,27944,-1,-1
2.5,27952,-1,-1
2.5,27952,-1,-1
2.5,27953,-1,-1
2.32,27960,-1,-1
2.0,27972,-1,-1
1.11,27974,-1,-1
2.03,27976,-1,-1
1.03,28016,-1,-1
2.11,28021,-1,-1
3.01,28066,-1,-1
1.7,28071,-1,-1
1.7,28071,-1,-1
1.21,28072,-1,-1
3.19,28072,-1,-1
1.8,28077,-1,-1
2.25,28080,-1,-1
2.01,28089,-1,-1
2.01,28089,-1,-1
2.01,28089,-1,-1
2.44,28090,-1,-1
2.2,28091,-1,-1
2.73,28092,-1,-1
2.02,28095,-1,-1
2.6,28112,-1,-1
2.01,28113,-1,-1
3.04,28120,-1,-1
2.01,28122,-1,-1
3.02,28124,-1,-1
2.16,28124,-1,-1
3.06,28125,-1,-1
1.6,28127,-1,-1
2.03,28137,-1,-1
2.0,28140,-1,-1
1.5,28140,-1,-1
2.35,28200,-1,-1
2.01,28202,-1,-1
2.01,28202,-1,-1
2.72,28202,-1,-1
1.52,28236,-1,-1
2.45,28240,-1,-1
3.02,28298,-1,-1
2.01,28337,-1,-1
2.51,28389,-1,-1
2.51,28389,-1,-1
3.01,28391,-1,-1
3.01,28391,-1,-1
0.91,28392,-1,-1
2.6,28392,-1,-1
1.7,28428,-1,-1
2.64,28437,-1,-1
1.53,28438,-1,-1
1.91,28440,-1,-1
2.02,28442,-1,-1
2.19,28446,-1,-1
2.54,28448,-1,-1
2.17,28457,-1,-1
2.01,28462,-1,-1
2.01,28462,-1,-1
2.01,28462,-1,-1
3.02,28464,-1,-1
2.5,28470,-1,-1
2.14,28475,-1,-1
3.41,28481,-1,-1
2.2,28481,-1,-1
1.5,28484,-1,-1
1.5,28484,-1,-1
4.03,28485,-1,-1
3.01,28485,-1,-1
1.5,28487,-1,-1
2.07,28492,-1,-1
2.02,28604,-1,-1
1.49,28608,-1,-1
3.01,28608,-1,-1
2.76,28617,-1,-1
1.6,28617,-1,-1
2.0,28623,-1,-1
2.01,28634,-1,-1
1.5,28635,-1,-1
2.5,28636,-1,-1
2.13,28677,-1,-1
2.13,28679,-1,-1
2.01,28679,-1,-1
2.04,28679,-1,-1
3.32,28685,-1,-1
2.02,28685,-1,-1
2.0,28728,-1,-1
